Node_Label,ID_,Parent_Foreign_Id,Parent_Foreign_Source,IP_Management,MgmtType_,svc_Forced,cat_display,cat_region,Asset_serialNumber,Asset_assetNumber,Asset_latitude,Asset_longitude
1699,1699,abd860-olt-2_SECONDARY,gpon2,254.0.0.1,N,,ONT,,5B3227,1699,,
111672,111672,abd860-olt-2_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,111672,,
490194,490194,abd860-olt-2_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,490194,,
24566,24566,abd860-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,6D416D,24566,,
59295,59295,abd860-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,96567A,59295,,
251715,251715,abd860-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,E73EC7,251715,,
617232,617232,abd873-olt-10_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D06140,617232,,
17108,17108,abd873-olt-2_SECONDARY,gpon2,254.0.0.1,N,,ONT,,63EAB2,17108,,
98251,98251,abd873-olt-2_SECONDARY,gpon2,254.0.0.1,N,,ONT,,965599,98251,,
54769,54769,abd873-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,96E0EF,54769,,
270712,270712,abd873-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D7DB55,270712,,
512654,512654,abd873-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,512654,,
316920,316920,abd873-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,CE7592,316920,,
438733,438733,abd873-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,438733,,
497238,497238,bar9-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D759CC,497238,,
583919,583919,bar9-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,430C44,583919,,
552724,552724,bn1-olt-8_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,552724,,
119888,119888,bn7344-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,96AC79,119888,,
111105,111105,bn7344-olt-4_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,111105,,
299191,299191,bn7348-olt-2_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,299191,,
347080,347080,bn7349-olt-2_SECONDARY,gpon2,254.0.0.1,N,,ONT,,CFCF51,347080,,
266704,266704,bn7349-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE8032,266704,,
170288,170288,bn7349-olt-4_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,170288,,
610550,610550,bog28-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,EB24A6,610550,,
78178,78178,bou20868-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,84AFF9,78178,,
140296,140296,bou20868-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE7957,140296,,
519951,519951,bou20868-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,CE3CF8,519951,,
36509,36509,bou8420-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,36509,,
122585,122585,bou8420-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE8005,122585,,
140998,140998,bou8420-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,140998,,
89427,89427,bou8420-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,96BB9D,89427,,
432948,432948,bou8420-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,432948,,
87672,87672,bou8420-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,96E75C,87672,,
452304,452304,bra369-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,E71922,452304,,
642604,642604,bra371-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,3B8E1C,642604,,
294483,294483,brh3-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,294483,,
392664,392664,brh3-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,392664,,
497204,497204,brh4-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,497204,,
