Node_Label, ID_, Parent_Foreign_Id, Parent_Foreign_Source, IP_Management, MgmtType_, svc_Forced, cat_type, cat_region, Asset_serialNumber, Asset_assetNumber, Asset_latitude, Asset_longitude
LT1-blk1-olt-301, LT1-blk1-olt-301, , , 172.20.0.150, N, , LTE, , , , , 
LT1-blk1-olt-302, LT1-blk1-olt-302, , , 172.20.0.151, N, , LTE, , , , , 
LT1-lou3-olt-301, LT1-lou3-olt-301, , , 172.20.0.152, N, , LTE, , , , , 
LT1-mid1-olt-503, LT1-mid1-olt-503, , , 172.20.0.153, N, , LTE, , , , , 
LT1-mid10337-olt-301, LT1-mid10337-olt-301, , , 172.20.0.154, N, , LTE, , , , , 
LT1-she504-olt-702, LT1-she504-olt-702, , , 172.20.0.155, N, , LTE, , , , , 
LT1-she506-olt-101, LT1-she506-olt-101, , , 172.20.0.156, N, , LTE, , , , , 
LT1-test301-olt-101, LT1-test301-olt-101, , , 172.20.0.157, N, , LTE, , , , , 
LT2-gry1-olt-303, LT2-gry1-olt-303, , , 172.20.0.158, N, , LTE, , , , , 
LT2-hav1-olt-303, LT2-hav1-olt-303, , , 172.20.0.159, N, , LTE, , , , , 
LT2-hav1-olt-304, LT2-hav1-olt-304, , , 172.20.0.160, N, , LTE, , , , , 
LT2-lou3-olt-101, LT2-lou3-olt-101, , , 172.20.0.161, N, , LTE, , , , , 
LT2-mid1-olt-502, LT2-mid1-olt-502, , , 172.20.0.162, N, , LTE, , , , , 
LT2-mid1-olt-504, LT2-mid1-olt-504, , , 172.20.0.163, N, , LTE, , , , , 
LT2-not238-olt-701, LT2-not238-olt-701, , , 172.20.0.164, N, , LTE, , , , , 
LT2-not238-olt-702, LT2-not238-olt-702, , , 172.20.0.165, N, , LTE, , , , , 
LT2-she503-olt-502, LT2-she503-olt-502, , , 172.20.0.166, N, , LTE, , , , , 
LT2-she504-olt-702, LT2-she504-olt-702, , , 172.20.0.167, N, , LTE, , , , , 
LT2-sun18-olt-501, LT2-sun18-olt-501, , , 172.20.0.168, N, , LTE, , , , , 
LT2-sun19-olt-302, LT2-sun19-olt-302, , , 172.20.0.169, N, , LTE, , , , , 
abd860-olt-2, abd860-olt-2, , , 172.20.0.170, N, , LTE, , , , , 
abd860-olt-3, abd860-olt-3, , , 172.20.0.171, N, , LTE, , , , , 
abd860-olt-5, abd860-olt-5, , , 172.20.0.172, N, , LTE, , , , , 
abd873-olt-10, abd873-olt-10, , , 172.20.0.173, N, , LTE, , , , , 
abd873-olt-2, abd873-olt-2, , , 172.20.0.174, N, , LTE, , , , , 
abd873-olt-3, abd873-olt-3, , , 172.20.0.175, N, , LTE, , , , , 
abd873-olt-5, abd873-olt-5, , , 172.20.0.176, N, , LTE, , , , , 
bar9-olt-1, bar9-olt-1, , , 172.20.0.177, N, , LTE, , , , , 
bar9-olt-3, bar9-olt-3, , , 172.20.0.178, N, , LTE, , , , , 
bn1-olt-8, bn1-olt-8, , , 172.20.0.179, N, , LTE, , , , , 
bn7344-olt-3, bn7344-olt-3, , , 172.20.0.180, N, , LTE, , , , , 
bn7344-olt-4, bn7344-olt-4, , , 172.20.0.181, N, , LTE, , , , , 
bn7348-olt-2, bn7348-olt-2, , , 172.20.0.182, N, , LTE, , , , , 
bn7349-olt-2, bn7349-olt-2, , , 172.20.0.183, N, , LTE, , , , , 
bn7349-olt-3, bn7349-olt-3, , , 172.20.0.184, N, , LTE, , , , , 
bn7349-olt-4, bn7349-olt-4, , , 172.20.0.185, N, , LTE, , , , , 
bog28-olt-3, bog28-olt-3, , , 172.20.0.186, N, , LTE, , , , , 
bou20868-olt-1, bou20868-olt-1, , , 172.20.0.187, N, , LTE, , , , , 
bou20868-olt-3, bou20868-olt-3, , , 172.20.0.188, N, , LTE, , , , , 
bou8420-olt-1, bou8420-olt-1, , , 172.20.0.189, N, , LTE, , , , , 
bou8420-olt-3, bou8420-olt-3, , , 172.20.0.190, N, , LTE, , , , , 
