opennms@horizon:~/logs$ tail -f alarmd.log | grep 'alarm service sending update situation event'
2024-04-15 12:55:12,806 WARN  [DroolsSession-alarmd-DroolsAlarmContext] o.o.n.a.d.DefaultAlarmService: alarm service sending update situation event: {"_creationTime":"Mon Apr 15 12:55:12 EDT 2024","_logmsg":{"_content":"updating situation","_dest":"logndisplay","_notify":true},"_nodeid":583,"_parms":[{"related-reductionKey-606739011":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::864:high-laser-bias"},{"situationDescr":"drools situation LogName: high-laser-bias related alarms:  7035 MINOR |"},{"situationLogMsg":"drools situation LogName: high-laser-bias related alarms:  7035 MINOR |"},{"LogName":"high-laser-bias"}],"_severity":"Major","_source":"drools","_time":"Mon Apr 15 12:55:12 EDT 2024","_uei":"uei.opennms.org\/alarms\/drools\/situation"}
2024-04-15 12:55:12,815 WARN  [DroolsSession-alarmd-DroolsAlarmContext] o.o.n.a.d.DefaultAlarmService: alarm service sending update situation event: {"_creationTime":"Mon Apr 15 12:55:12 EDT 2024","_logmsg":{"_content":"updating situation","_dest":"logndisplay","_notify":true},"_nodeid":583,"_parms":[{"related-reductionKey-1960048708":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::865:high-laser-bias"},{"situationDescr":"drools situation LogName: high-laser-bias related alarms:  7036 MINOR |"},{"situationLogMsg":"drools situation LogName: high-laser-bias related alarms:  7036 MINOR |"},{"LogName":"high-laser-bias"}],"_severity":"Major","_source":"drools","_time":"Mon Apr 15 12:55:12 EDT 2024","_uei":"uei.opennms.org\/alarms\/drools\/situation"}
2024-04-15 12:55:12,824 WARN  [DroolsSession-alarmd-DroolsAlarmContext] o.o.n.a.d.DefaultAlarmService: alarm service sending update situation event: {"_creationTime":"Mon Apr 15 12:55:12 EDT 2024","_logmsg":{"_content":"updating situation","_dest":"logndisplay","_notify":true},"_nodeid":583,"_parms":[{"related-reductionKey--981608891":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::866:high-laser-bias"},{"situationDescr":"drools situation LogName: high-laser-bias related alarms:  7037 MINOR |"},{"situationLogMsg":"drools situation LogName: high-laser-bias related alarms:  7037 MINOR |"},{"LogName":"high-laser-bias"}],"_severity":"Major","_source":"drools","_time":"Mon Apr 15 12:55:12 EDT 2024","_uei":"uei.opennms.org\/alarms\/drools\/situation"}
2024-04-15 12:55:12,838 WARN  [DroolsSession-alarmd-DroolsAlarmContext] o.o.n.a.d.DefaultAlarmService: alarm service sending update situation event: {"_creationTime":"Mon Apr 15 12:55:12 EDT 2024","_logmsg":{"_content":"updating situation","_dest":"logndisplay","_notify":true},"_nodeid":583,"_parms":[{"related-reductionKey-1960048708":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::865:high-laser-bias"},{"related-reductionKey-606739011":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::864:high-laser-bias"},{"situationDescr":"drools situation LogName: high-laser-bias related alarms:  7035 MINOR | 7036 MINOR |"},{"situationLogMsg":"drools situation LogName: high-laser-bias related alarms:  7035 MINOR | 7036 MINOR |"},{"LogName":"high-laser-bias"}],"_severity":"Major","_source":"drools","_time":"Mon Apr 15 12:55:12 EDT 2024","_uei":"uei.opennms.org\/alarms\/drools\/situation"}
2024-04-15 12:55:12,839 WARN  [DroolsSession-alarmd-DroolsAlarmContext] o.o.n.a.d.DefaultAlarmService: alarm service sending update situation event: {"_creationTime":"Mon Apr 15 12:55:12 EDT 2024","_logmsg":{"_content":"updating situation","_dest":"logndisplay","_notify":true},"_nodeid":583,"_parms":[{"related-reductionKey--981608891":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::866:high-laser-bias"},{"related-reductionKey-606739011":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::864:high-laser-bias"},{"situationDescr":"drools situation LogName: high-laser-bias related alarms:  7035 MINOR | 7037 MINOR |"},{"situationLogMsg":"drools situation LogName: high-laser-bias related alarms:  7035 MINOR | 7037 MINOR |"},{"LogName":"high-laser-bias"}],"_severity":"Major","_source":"drools","_time":"Mon Apr 15 12:55:12 EDT 2024","_uei":"uei.opennms.org\/alarms\/drools\/situation"}
2024-04-15 12:55:12,840 WARN  [DroolsSession-alarmd-DroolsAlarmContext] o.o.n.a.d.DefaultAlarmService: alarm service sending update situation event: {"_creationTime":"Mon Apr 15 12:55:12 EDT 2024","_logmsg":{"_content":"updating situation","_dest":"logndisplay","_notify":true},"_nodeid":351,"_parms":[{"related-reductionKey-1034186991":"uei.opennms.org\/alarms\/drools\/situation::583:high-laser-bias"},{"situationDescr":"drools situation LogName: high-laser-bias related alarms:  7038 MAJOR |"},{"situationLogMsg":"drools situation LogName: high-laser-bias related alarms:  7038 MAJOR |"},{"LogName":"high-laser-bias"}],"_severity":"Critical","_source":"drools","_time":"Mon Apr 15 12:55:12 EDT 2024","_uei":"uei.opennms.org\/alarms\/drools\/situation"}
2024-04-15 12:55:12,841 WARN  [DroolsSession-alarmd-DroolsAlarmContext] o.o.n.a.d.DefaultAlarmService: alarm service sending update situation event: {"_creationTime":"Mon Apr 15 12:55:12 EDT 2024","_logmsg":{"_content":"updating situation","_dest":"logndisplay","_notify":true},"_nodeid":583,"_parms":[{"related-reductionKey-371700806":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::867:high-laser-bias"},{"related-reductionKey-606739011":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::864:high-laser-bias"},{"situationDescr":"drools situation LogName: high-laser-bias related alarms:  7035 MINOR | 7040 MINOR |"},{"situationLogMsg":"drools situation LogName: high-laser-bias related alarms:  7035 MINOR | 7040 MINOR |"},{"LogName":"high-laser-bias"}],"_severity":"Major","_source":"drools","_time":"Mon Apr 15 12:55:12 EDT 2024","_uei":"uei.opennms.org\/alarms\/drools\/situation"}
2024-04-15 12:55:12,860 WARN  [DroolsSession-alarmd-DroolsAlarmContext] o.o.n.a.d.DefaultAlarmService: alarm service sending update situation event: {"_creationTime":"Mon Apr 15 12:55:12 EDT 2024","_logmsg":{"_content":"updating situation","_dest":"logndisplay","_notify":true},"_nodeid":583,"_parms":[{"related-reductionKey-1960048708":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::865:high-laser-bias"},{"related-reductionKey-606739011":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::864:high-laser-bias"},{"situationDescr":"drools situation LogName: high-laser-bias related alarms:  7036 MINOR | 7035 MINOR |"},{"situationLogMsg":"drools situation LogName: high-laser-bias related alarms:  7036 MINOR | 7035 MINOR |"},{"LogName":"high-laser-bias"}],"_severity":"Major","_source":"drools","_time":"Mon Apr 15 12:55:12 EDT 2024","_uei":"uei.opennms.org\/alarms\/drools\/situation"}
2024-04-15 12:55:12,862 WARN  [DroolsSession-alarmd-DroolsAlarmContext] o.o.n.a.d.DefaultAlarmService: alarm service sending update situation event: {"_creationTime":"Mon Apr 15 12:55:12 EDT 2024","_logmsg":{"_content":"updating situation","_dest":"logndisplay","_notify":true},"_nodeid":583,"_parms":[{"related-reductionKey-1960048708":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::865:high-laser-bias"},{"related-reductionKey--981608891":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::866:high-laser-bias"},{"situationDescr":"drools situation LogName: high-laser-bias related alarms:  7036 MINOR | 7037 MINOR |"},{"situationLogMsg":"drools situation LogName: high-laser-bias related alarms:  7036 MINOR | 7037 MINOR |"},{"LogName":"high-laser-bias"}],"_severity":"Major","_source":"drools","_time":"Mon Apr 15 12:55:12 EDT 2024","_uei":"uei.opennms.org\/alarms\/drools\/situation"}
2024-04-15 12:55:12,864 WARN  [DroolsSession-alarmd-DroolsAlarmContext] o.o.n.a.d.DefaultAlarmService: alarm service sending update situation event: {"_creationTime":"Mon Apr 15 12:55:12 EDT 2024","_logmsg":{"_content":"updating situation","_dest":"logndisplay","_notify":true},"_nodeid":583,"_parms":[{"related-reductionKey-371700806":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::867:high-laser-bias"},{"related-reductionKey-1960048708":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::865:high-laser-bias"},{"situationDescr":"drools situation LogName: high-laser-bias related alarms:  7036 MINOR | 7040 MINOR |"},{"situationLogMsg":"drools situation LogName: high-laser-bias related alarms:  7036 MINOR | 7040 MINOR |"},{"LogName":"high-laser-bias"}],"_severity":"Major","_source":"drools","_time":"Mon Apr 15 12:55:12 EDT 2024","_uei":"uei.opennms.org\/alarms\/drools\/situation"}
2024-04-15 12:55:12,865 WARN  [DroolsSession-alarmd-DroolsAlarmContext] o.o.n.a.d.DefaultAlarmService: alarm service sending update situation event: {"_creationTime":"Mon Apr 15 12:55:12 EDT 2024","_logmsg":{"_content":"updating situation","_dest":"logndisplay","_notify":true},"_nodeid":351,"_parms":[{"related-reductionKey-1034186991":"uei.opennms.org\/alarms\/drools\/situation::583:high-laser-bias"},{"situationDescr":"drools situation LogName: high-laser-bias related alarms:  7038 MAJOR |"},{"situationLogMsg":"drools situation LogName: high-laser-bias related alarms:  7038 MAJOR |"},{"LogName":"high-laser-bias"}],"_severity":"Critical","_source":"drools","_time":"Mon Apr 15 12:55:12 EDT 2024","_uei":"uei.opennms.org\/alarms\/drools\/situation"}
2024-04-15 12:55:12,908 WARN  [DroolsSession-alarmd-DroolsAlarmContext] o.o.n.a.d.DefaultAlarmService: alarm service sending update situation event: {"_creationTime":"Mon Apr 15 12:55:12 EDT 2024","_logmsg":{"_content":"updating situation","_dest":"logndisplay","_notify":true},"_nodeid":583,"_parms":[{"related-reductionKey--981608891":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::866:high-laser-bias"},{"related-reductionKey-606739011":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::864:high-laser-bias"},{"situationDescr":"drools situation LogName: high-laser-bias related alarms:  7037 MINOR | 7035 MINOR |"},{"situationLogMsg":"drools situation LogName: high-laser-bias related alarms:  7037 MINOR | 7035 MINOR |"},{"LogName":"high-laser-bias"}],"_severity":"Major","_source":"drools","_time":"Mon Apr 15 12:55:12 EDT 2024","_uei":"uei.opennms.org\/alarms\/drools\/situation"}
2024-04-15 12:55:12,910 WARN  [DroolsSession-alarmd-DroolsAlarmContext] o.o.n.a.d.DefaultAlarmService: alarm service sending update situation event: {"_creationTime":"Mon Apr 15 12:55:12 EDT 2024","_logmsg":{"_content":"updating situation","_dest":"logndisplay","_notify":true},"_nodeid":583,"_parms":[{"related-reductionKey-1960048708":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::865:high-laser-bias"},{"related-reductionKey--981608891":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::866:high-laser-bias"},{"situationDescr":"drools situation LogName: high-laser-bias related alarms:  7037 MINOR | 7036 MINOR |"},{"situationLogMsg":"drools situation LogName: high-laser-bias related alarms:  7037 MINOR | 7036 MINOR |"},{"LogName":"high-laser-bias"}],"_severity":"Major","_source":"drools","_time":"Mon Apr 15 12:55:12 EDT 2024","_uei":"uei.opennms.org\/alarms\/drools\/situation"}
2024-04-15 12:55:12,912 WARN  [DroolsSession-alarmd-DroolsAlarmContext] o.o.n.a.d.DefaultAlarmService: alarm service sending update situation event: {"_creationTime":"Mon Apr 15 12:55:12 EDT 2024","_logmsg":{"_content":"updating situation","_dest":"logndisplay","_notify":true},"_nodeid":583,"_parms":[{"related-reductionKey-371700806":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::867:high-laser-bias"},{"related-reductionKey--981608891":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::866:high-laser-bias"},{"situationDescr":"drools situation LogName: high-laser-bias related alarms:  7037 MINOR | 7040 MINOR |"},{"situationLogMsg":"drools situation LogName: high-laser-bias related alarms:  7037 MINOR | 7040 MINOR |"},{"LogName":"high-laser-bias"}],"_severity":"Major","_source":"drools","_time":"Mon Apr 15 12:55:12 EDT 2024","_uei":"uei.opennms.org\/alarms\/drools\/situation"}
2024-04-15 12:55:12,933 WARN  [DroolsSession-alarmd-DroolsAlarmContext] o.o.n.a.d.DefaultAlarmService: alarm service sending update situation event: {"_creationTime":"Mon Apr 15 12:55:12 EDT 2024","_logmsg":{"_content":"updating situation","_dest":"logndisplay","_notify":true},"_nodeid":583,"_parms":[{"related-reductionKey-1960048708":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::865:high-laser-bias"},{"related-reductionKey--981608891":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::866:high-laser-bias"},{"related-reductionKey-606739011":"uei.opennms.org\/Translator\/Calex\/Axos\/ONT\/Alarm\/Raise::864:high-laser-bias"},{"situationDescr":"drools situation LogName: high-laser-bias related alarms:  7035 MINOR | 7036 MINOR | 7037 MINOR |"},{"situationLogMsg":"drools situation LogName: high-laser-bias related alarms:  7035 MINOR | 7036 MINOR | 7037 MINOR |"},{"LogName":"high-laser-bias"}],"_severity":"Major","_source":"drools","_time":"Mon Apr 15 12:55:12 EDT 2024","_uei":"uei.opennms.org\/alarms\/drools\/situation"}
